,label,message,length
0,ham,"['Go', 'jurong', 'point', 'crazy', 'Available', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', 'Cine', 'got', 'amore', 'wat']",111
1,ham,"['Ok', 'lar', 'Joking', 'wif', 'u', 'oni']",29
2,spam,"['Free', 'entry', '2', 'wkly', 'comp', 'win', 'FA', 'Cup', 'final', 'tkts', '21st', 'May', '2005', 'Text', 'FA', '87121', 'receive', 'entry', 'questionstd', 'txt', 'rateTCs', 'apply', '08452810075over18s']",155
3,ham,"['U', 'dun', 'say', 'early', 'hor', 'U', 'c', 'already', 'say']",49
4,ham,"['Nah', 'dont', 'think', 'goes', 'usf', 'lives', 'around', 'though']",61
5,spam,"['FreeMsg', 'Hey', 'darling', '3', 'weeks', 'word', 'back', 'Id', 'like', 'fun', 'still', 'Tb', 'ok', 'XxX', 'std', 'chgs', 'send', '£150', 'rcv']",147
6,ham,"['Even', 'brother', 'like', 'speak', 'treat', 'like', 'aids', 'patent']",77
7,ham,"['per', 'request', 'Melle', 'Melle', 'Oru', 'Minnaminunginte', 'Nurungu', 'Vettam', 'set', 'callertune', 'Callers', 'Press', '9', 'copy', 'friends', 'Callertune']",160
8,spam,"['WINNER', 'valued', 'network', 'customer', 'selected', 'receivea', '£900', 'prize', 'reward', 'claim', 'call', '09061701461', 'Claim', 'code', 'KL341', 'Valid', '12', 'hours']",157
9,spam,"['mobile', '11', 'months', 'U', 'R', 'entitled', 'Update', 'latest', 'colour', 'mobiles', 'camera', 'Free', 'Call', 'Mobile', 'Update', 'Co', 'FREE', '08002986030']",154
10,ham,"['Im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'k', 'Ive', 'cried', 'enough', 'today']",109
11,spam,"['SIX', 'chances', 'win', 'CASH', '100', '20000', 'pounds', 'txt', 'CSH11', 'send', '87575', 'Cost', '150pday', '6days', '16', 'TsandCs', 'apply', 'Reply', 'HL', '4', 'info']",136
12,spam,"['URGENT', '1', 'week', 'FREE', 'membership', '£100000', 'Prize', 'Jackpot', 'Txt', 'word', 'CLAIM', '81010', 'TC', 'wwwdbuknet', 'LCCLTD', 'POBOX', '4403LDNW1A7RW18']",155
13,ham,"['Ive', 'searching', 'right', 'words', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'times']",196
14,ham,"['DATE', 'SUNDAY']",35
15,spam,"['XXXMobileMovieClub', 'use', 'credit', 'click', 'WAP', 'link', 'next', 'txt', 'message', 'click', 'httpwap', 'xxxmobilemovieclubcomnQJKGIGHJJGCBL']",149
16,ham,"['Oh', 'kim', 'watching']",26
17,ham,"['Eh', 'u', 'remember', '2', 'spell', 'name', 'Yes', 'v', 'naughty', 'make', 'v', 'wet']",81
18,ham,"['Fine', 'that\x92s', 'way', 'u', 'feel', 'That\x92s', 'way', 'gota', 'b']",56
19,spam,"['England', 'v', 'Macedonia', 'dont', 'miss', 'goalsteam', 'news', 'Txt', 'ur', 'national', 'team', '87077', 'eg', 'ENGLAND', '87077', 'TryWALES', 'SCOTLAND', '4txtú120', 'POBOXox36504W45WQ', '16']",155
20,ham,"['seriously', 'spell', 'name']",41
21,ham,"['I‘m', 'going', 'try', '2', 'months', 'ha', 'ha', 'joking']",47
22,ham,"['ü', 'pay', 'first', 'lar', 'da', 'stock', 'comin']",52
23,ham,"['Aft', 'finish', 'lunch', 'go', 'str', 'lor', 'Ard', '3', 'smth', 'lor', 'U', 'finish', 'ur', 'lunch', 'already']",88
24,ham,"['Ffffffffff', 'Alright', 'way', 'meet', 'sooner']",57
25,ham,"['forced', 'eat', 'slice', 'Im', 'really', 'hungry', 'tho', 'sucks', 'Mark', 'getting', 'worried', 'knows', 'Im', 'sick', 'turn', 'pizza', 'Lol']",144
26,ham,"['Lol', 'always', 'convincing']",30
27,ham,"['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'moms', 'left', 'dinner', 'feel', 'Love']",134
28,ham,"['Im', 'back', 'amp', 'packing', 'car', 'Ill', 'let', 'know', 'theres', 'room']",75
29,ham,"['Ahhh', 'Work', 'vaguely', 'remember', 'feel', 'like', 'Lol']",64
30,ham,"['Wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'x', 'doesnt', 'want', 'live', 'us']",130
31,ham,"['Yeah', 'got', '2', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'Till', '2', 'wont', 'go', 'badly', 'cheers']",189
32,ham,"['K', 'tell', 'anything']",29
33,ham,"['fear', 'fainting', 'housework', 'Quick', 'cuppa']",84
